keyword,ngram,pattern,start,end,phrase_length
his own fault,3,NAN,36739,36741,3
his mistake he,3,NNN,36744,36746,3
fire under the spruce tree he,6,NPDNNN,36752,36757,6
it,1,N,36761,36761,1
it,1,N,36766,36766,1
twigs from the brush,4,NPDN,36773,36776,4
them,1,N,36779,36779,1
fire,1,N,36783,36783,1
tree under which he,4,NPNN,36786,36789,4
this,1,N,36792,36792,1
weight of snow on its boughs,6,NPNPNN,36795,36800,6
wind,1,N,36802,36802,1
weeks,1,N,36806,36806,1
bough,1,N,36809,36809,1
time he,2,NN,36814,36815,2
twig he,2,NN,36819,36820,2
slight agitation to the tree,5,ANPDN,36824,36828,5
imperceptible agitation,2,AN,36831,36832,2
he,1,N,36836,36836,1
agitation,1,N,36841,36841,1
disaster,1,N,36847,36847,1
tree one bough,3,NAN,36852,36854,3
it,1,N,36856,36856,1
load of snow,3,NPN,36858,36860,3
fell on the boughs,4,NPDN,36862,36865,4
them,1,N,36868,36868,1
process,1,N,36870,36870,1
whole tree it,3,ANN,36877,36879,3
avalanche,1,N,36883,36883,1
it,1,N,36885,36885,1
man,1,N,36891,36891,1
fire,1,N,36894,36894,1
fire,1,N,36897,36897,1
it,1,N,36902,36902,1
mantle,1,N,36907,36907,1
disordered snow,2,AN,36911,36912,2
man,1,N,36914,36914,1
shocked it,2,AN,36916,36917,2
he,1,N,36921,36921,1
his own sentence of death for a moment,8,NANPNPDN,36925,36932,8
own sentence of death for a moment he,8,ANPNPDNN,36926,36933,8
spot,1,N,36939,36939,1
fire,1,N,36942,36942,1
he,1,N,36946,36946,1
old timer on sulphur creek,5,ANPNN,36952,36956,5
he,1,N,36960,36960,1
trail mate he,3,NNN,36965,36967,3
danger,1,N,36973,36973,1
trail mate,2,NN,36976,36977,2
fire,1,N,36982,36982,1
it,1,N,36984,36984,1
him,1,N,36988,36988,1
fire,1,N,36992,36992,1
second time there,3,ANN,36997,36999,3
failure,1,N,37003,37003,1
he,1,N,37006,37006,1
he,1,N,37008,37008,1
toes his feet,3,NNN,37014,37016,3
there,1,N,37024,37024,1
time,1,N,37028,37028,1
second fire,2,AN,37031,37032,2
his thoughts,2,NN,37037,37038,2
he,1,N,37040,37040,1
them he,2,NN,37046,37047,2
time they,2,NN,37052,37053,2
his mind he,3,NNN,37057,37059,3
new foundation for a fire,5,ANPDN,37062,37066,5
time,1,N,37068,37068,1
treacherous tree,2,AN,37074,37075,2
it,1,N,37078,37078,1
he,1,N,37081,37081,1
dry grasses,2,AN,37083,37084,2
tiny twigs from the high water flotsam he,8,ANPDANNN,37086,37093,8
his fingers,2,NN,37097,37098,2
them,1,N,37102,37102,1
he,1,N,37105,37105,1
